"WKT","Name","Provinsi","Kota","Kecamatan"
"POINT (97.96694860 2.39143370)","YZ_ SPOT RIMO","NANGGROE ACEH DARUSSALAM","SINGKIL","GUNUNG MERIAH-SNK"
"POINT (95.58863920 4.63503550)","YZ_ SPOT CALANG","NANGGROE ACEH DARUSSALAM","CALANG","KRUENG SABEE"
"POINT (96.24703820 5.25122780)","YZ_ SPOT Meureudu","NANGGROE ACEH DARUSSALAM","MEUREUDU","MEUREUDU"
"POINT (97.22308530 5.11639090)","YZ_ JNT EXPRESS DP GEUDONG","NANGGROE ACEH DARUSSALAM","LHOKSUKON","SAMUDERA"
"POINT (96.29661630 4.11706900)","YZ_ SPOT SUKA MAKMUE","NANGGROE ACEH DARUSSALAM","NAGAN RAYA","KUALA-SBS"
"POINT (96.13582230 4.17185420)","YZ_ Spot Kaway","NANGGROE ACEH DARUSSALAM","MEULABOH","JOHAN PAHLAWAN"
"POINT (95.94549610 5.37656210)","YZ_ Tangse","NANGGROE ACEH DARUSSALAM","SIGLI","TANGSE"
"POINT (98.04967570 4.29084180)","YZ_ SPOT KUALASIMPANG","NANGGROE ACEH DARUSSALAM","KUALA SIMPANG","KUALA SIMPANG"
"POINT (96.80745660 4.72127020)","YZ_ STR01 SIMPANG TIGA REDELONG","NANGGROE ACEH DARUSSALAM","SIMPANG TIGA REDELONG","BUKIT"
"POINT (97.34461220 3.98529700)","YZ_ BLANGKEJEREN","NANGGROE ACEH DARUSSALAM","GAYO LUES","BLANG KEJEREN"
"POINT (97.48513080 2.92588220)","YZ_ SPOT TRUMON","NANGGROE ACEH DARUSSALAM","ACEH SELATAN","BAKONGAN"
"POINT (96.37906070 2.46063000)","YZ_ SPOT SINABANG","NANGGROE ACEH DARUSSALAM","SINABANG","SIMEULUE TIMUR"
"POINT (95.96641280 2.59180930)","YZ_ SPOT KAMPUNG AIE","NANGGROE ACEH DARUSSALAM","SINABANG","SIMEULUE TENGAH"
"POINT (97.89191610 4.80139820)","YZ_ DROP POINT PEUREULAK","NANGGROE ACEH DARUSSALAM","IDI RAYEUK","PEUREULAK"
"POINT (97.05169620 5.21884790)","YZ_ SPOT BATUPHAT","NANGGROE ACEH DARUSSALAM","LHOKSEUMAWE","MUARA SATU"
"POINT (95.34640610 5.54553910)","YZ_ SPOT DP PANGO","NANGGROE ACEH DARUSSALAM","BANDA ACEH","ULEE KARENG"
"POINT (97.45394930 5.11697140)","YZ_ SpotPantonLabu","NANGGROE ACEH DARUSSALAM","LHOKSUKON","TANAH JAMBO AYE"
"POINT (97.12762820 5.17571580)","YZ_ DP LSW02A","NANGGROE ACEH DARUSSALAM","LHOKSEUMAWE","MUARA DUA"
"POINT (96.82720920 5.21042740)","YZ_ JNTSPOTFAJRI","NANGGROE ACEH DARUSSALAM","BIREUEN","KUTA BLANG"
"POINT (97.31065510 3.13599690)","YZ_ SPOT KOTA FAJAR","NANGGROE ACEH DARUSSALAM","ACEH SELATAN","KLUET UTARA"
"POINT (97.78119550 4.93703950)","YZ_ SPOT IDI RAYEUK","NANGGROE ACEH DARUSSALAM","IDI RAYEUK","IDI RAYEUK"
"POINT (96.90970860 5.23694100)","YZ_ DP LSN03","NANGGROE ACEH DARUSSALAM","LHOKSUKON","MUARA BATU"
"POINT (95.34971201 5.53374467)","YZ_ Spot kuta alam","NANGGROE ACEH DARUSSALAM","BANDA ACEH","KUTA ALAM"
"POINT (96.79845480 5.19593340)","YZ_ SPOT MATANG GEULUMPANGDUA","NANGGROE ACEH DARUSSALAM","BIREUEN","PEUSANGAN"
"POINT (96.691414 5.204515)","YZ_ BIREUEN","NANGGROE ACEH DARUSSALAM","BIREUEN","KOTA JUANG"
"POINT (97.95210810 4.50532620)","YZ_ SPOT LNX01","NANGGROE ACEH DARUSSALAM","LANGSA","LANGSA BARO"
"POINT (97.85634570 2.28955460)","YZ_ Spot singkil","NANGGROE ACEH DARUSSALAM","SINGKIL","SINGKIL-SNK"
"POINT (97.15195560 5.17730270)","YZ_ DP LSW01","NANGGROE ACEH DARUSSALAM","LHOKSEUMAWE","BANDA SAKTI"
"POINT (97.31829990 5.04120640)","YZ_ LHOKSUKON","NANGGROE ACEH DARUSSALAM","LHOKSUKON","LHOKSUKON"
"POINT (97.81864740 3.47465870)","YZ_ SPOT KUTACANE","NANGGROE ACEH DARUSSALAM","KUTACANE","BABUSSALAM"
"POINT (95.44799260 5.40988550)","YZ_ Spot Jantho","NANGGROE ACEH DARUSSALAM","JANTHO","INDRAPURI"
"POINT (97.62066300 5.04386890)","YZ_ DP IDR03","NANGGROE ACEH DARUSSALAM","IDI RAYEUK","JULOK"
"POINT (97.97977240 4.46374430)","YZ_ SPOT LANGSA LAMA","NANGGROE ACEH DARUSSALAM","LANGSA","LANGSA LAMA"
"POINT (95.94548200 5.37655280)","YZ_ BEUREUNUN","NANGGROE ACEH DARUSSALAM","SIGLI","MUTIARA TIMUR"
"POINT (96.31346530 5.20282070)","YZ_ SPOT ULEE GLE","NANGGROE ACEH DARUSSALAM","MEUREUDU","BANDAR DUA"
"POINT (97.17548640 3.25273390)","YZ_ SPOT TAPAKTUAN","NANGGROE ACEH DARUSSALAM","ACEH SELATAN","TAPAK TUAN"
"POINT (95.95566670 5.37016972)","YZ_ SPOT DP PIDIE","NANGGROE ACEH DARUSSALAM","SIGLI","PIDIE"
"POINT (96.49039970 3.98851750)","YZ_ ALUE BILUE","NANGGROE ACEH DARUSSALAM","NAGAN RAYA","DARUL MAKMUR"
"POINT (96.07503490 4.23339000)","YZ_ MEULABOH","NANGGROE ACEH DARUSSALAM","MEULABOH","JOHAN PAHLAWAN"
"POINT (96.84251160 4.63133470)","YZ_ SPOT BEBESEN","NANGGROE ACEH DARUSSALAM","TAKENGON","BEBESEN"
"POINT (98.04932370 4.29137510)","YZ_ TUALANG CUT","NANGGROE ACEH DARUSSALAM","KUALA SIMPANG","MANYAK PAYED"
"POINT (96.16466490 4.13757980)","YZ_ SPOT JEURAM","NANGGROE ACEH DARUSSALAM","NAGAN RAYA","SEUNAGAN"
"POINT (96.84574195 4.62517441)","YZ_ SPOT TAKENGON","NANGGROE ACEH DARUSSALAM","TAKENGON","BEBESEN"
"POINT (96.81039388 3.72711547)","YZ_ Blangpidie","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","SUSOH"
"POINT (96.90805150 4.75033440)","YZ_ PONDOK BARU","NANGGROE ACEH DARUSSALAM","SIMPANG TIGA REDELONG","BANDAR-STR"
"POINT (95.91435674 5.38089750)","YZ_ SPOT GRONG GRONG","NANGGROE ACEH DARUSSALAM","SIGLI","GRONG GRONG"
"POINT (95.32800230 5.88591660)","YZ_ SPOT SABANG","NANGGROE ACEH DARUSSALAM","SABANG","SUKAJAYA-SAB"
"POINT (96.98823270 3.56218500)","YZ_ SPOT LABUHAN HAJI","NANGGROE ACEH DARUSSALAM","ACEH SELATAN","LABUHAN HAJI-TPK"
"POINT (97.13628540 5.19052510)","YZ_ SPOT ALUE AWE","NANGGROE ACEH DARUSSALAM","LHOKSEUMAWE","MUARA DUA"
"POINT (96.4960998 5.1890554)","YZ_ SPOT JEUNIB","NANGGROE ACEH DARUSSALAM","BIREUEN","SIMPANG MAMPLAM"
"POINT (98.68953970 3.56517010)","YZ_ BAHOROK E SPOT KEDAI BU NINING","SUMATERA UTARA","LANGKAT","SIRAPIT"
"POINT (98.68956180 3.56513300)","YZ_ SIMPANG DUA- 3 SPOT","SUMATERA UTARA","SIMALUNGUN","TANAH JAWA"
"POINT (98.782066 3.536643)","YZ_ BATANGKUIS C SPOT","SUMATERA UTARA","DELI SERDANG","TANJUNG MORAWA"
"POINT (98.18415150 3.49425370)","YZ_ BAHOROK D SIRAPIT SPOT","SUMATERA UTARA","LANGKAT","SIRAPIT"
"POINT (98.62768460 3.59437560)","YZ_ HAMPER DES 2 JNT SPOT","SUMATERA UTARA","DELI SERDANG","HAMPARAN PERAK"
"POINT (98.689513 3.5651654)","YZ_ BAHOROK A SPOT","SUMATERA UTARA","LANGKAT","BAHOROK"
"POINT (98.62768430 3.59437210)","YZ_ PERDAGANGAN 2 SPOT","SUMATERA UTARA","SIMALUNGUN","BOSAR MALIGAS"
"POINT (98.57705000 3.59965530)","YZ_ SALAPIAN SPOT","SUMATERA UTARA","LANGKAT","SALAPIAN"
"POINT (98.57674630 3.59427740)","YZ_ HAMPER DES JNT SPOT","SUMATERA UTARA","DELI SERDANG","HAMPARAN PERAK"
"POINT (98.28758790 4.01751510)","YZ_ BAHOROK SPOT","SUMATERA UTARA","LANGKAT","SELESAI"
"POINT (98.26868810 4.00716320)","YZ_ SIMPANG DUA-1 SPOT","SUMATERA UTARA","PEMATANG SIANTAR","SIANTAR MARIMBUN"
"POINT (99.0418826 2.9390235)","YZ_ SIMPANG DUA-2 SPOT","SUMATERA UTARA","PEMATANG SIANTAR","SIANTAR MARIMBUN"
"POINT (99.322486 3.148247)","YZ_ PERDAGANGAN SPOT","SUMATERA UTARA","SIMALUNGUN","HUTA BAYU RAJA"
"POINT (98.6895177 3.565166)","YZ_ LINCUN SPOT","SUMATERA UTARA","LANGKAT","KUALA-PKD"
"POINT (98.6895109 3.5651676)","YZ_ OMR SPOT","SUMATERA UTARA","MEDAN","AMPLAS"
"POINT (98.6910231 3.563646)","YZ_ GUNUNG SPOT","SUMATERA UTARA","DELI SERDANG","SINEMBAH TANJUNG MUDA HILIR"
"POINT (98.6910282 3.5636509)","YZ_ Batangkuis Spot","SUMATERA UTARA","LUBUK PAKAM","BATANG KUIS"
"POINT (98.689514 3.5651673)","YZ_ RAMBUNG SPOT","SUMATERA UTARA","LANGKAT","SEI BINGE"
"POINT (98.6895078 3.5651662)","YZ_ SUDIRMAN SBX SPOT","SUMATERA UTARA","LANGKAT","WAMPU"
"POINT (98.6200843 3.5286609)","YZ_ WARUNG JAJAN KUY SPOT","SUMATERA UTARA","MEDAN","TUNTUNGAN"
"POINT (98.620091 3.5286451)","YZ_ PINANG RAYA SPOT","SUMATERA UTARA","MEDAN","TUNTUNGAN"
"POINT (98.6621896 3.6008241)","YZ_ GAVIN SPOT","SUMATERA UTARA","MEDAN","PERCUT SEI TUAN"
"POINT (99.82330060 2.10044300)","YZ_ SPOT BAKTI RAJA 02","SUMATERA UTARA","HUMBANG HASUNDUTAN","BAKTI RAJA"
"POINT (101.541076 0.707354)","YZ_ RM Jawa Timur","RIAU","SIAK","TUALANG"
"POINT (101.765935 0.884644)","YZ_ SIMPANG 4 OLAK","RIAU","SIAK","SUNGAI MANDAU"
"POINT (100.900278 1.190741)","YZ_ WADUK KM 28","RIAU","ROKAN HULU","BONAI DARUSSALAM"
"POINT (102.71200775 1.03415805)","YZ_ PULAU RANGSANG BARAT","RIAU","KEPULAUAN MERANTI","RANGSANG BARAT"
"POINT (101.407340 1.249061)","YZ_ SEBANGA","RIAU","BENGKALIS","PINGGIR"
"POINT (102.14388622 0.34866888)","YZ_ADEI BUNUT","RIAU","PELALAWAN","BUNUT"
"POINT (102.18527219 0.27775497)","YZ_ BUNUT","RIAU","PELALAWAN","BUNUT"
"POINT (101.49275083 1.44890036)","YZ_ BUKIT KERIKIL","RIAU","BENGKALIS","BANDAR LAKSAMANA"
"POINT (101.50648336 1.15114384)","YZ_ TALANG MANDAU","RIAU","BENGKALIS","TALANG MUANDAU"
"POINT (101.38038119 0.91500874)","YZ_ GARUT","RIAU","SIAK","KANDIS-SII"
"POINT (104.0237052 1.1579517)","YZ_ Sengkuang","KEPULAUAN RIAU","BATAM","BATU AMPAR-BTH"
"POINT (104.6161377 -0.210639)","YZ_ SPOT DAIK LINGGA","KEPULAUAN RIAU","LINGGA","LINGGA"
"POINT (100.82557090 -0.53775570)","YZ_ zefzifebri yandra","SUMATERA BARAT","SIJUNJUNG","SUMPUR KUDUS"
"POINT (100.91359360 -0.45730560)","YZ_ spot desri sjj04","SUMATERA BARAT","SIJUNJUNG","SUMPUR KUDUS"
"POINT (100.82464320 -0.54409900)","YZ_ SPOT RULLY SJJ04","SUMATERA BARAT","SIJUNJUNG","SUMPUR KUDUS"
"POINT (100.88660420 -0.39627340)","YZ_ SPOT VIONAS JJ04","SUMATERA BARAT","SIJUNJUNG","SUMPUR KUDUS"
"POINT (100.78758950 -1.07540550)","YZ_ SPOT ALFIAN NOFRI","SUMATERA BARAT","AROSUKA","HILIRAN GUMANTI"
"POINT (100.78759430 -1.07539380)","YZ_ SPOTSABDIRAHMAN","SUMATERA BARAT","AROSUKA","HILIRAN GUMANTI"
"POINT (100.78756280 -1.07547260)","YZ_ SPOT Ahmad Syafril Alendra","SUMATERA BARAT","AROSUKA","LEMBAH GUMANTI"
"POINT (100.78759090 -1.07538200)","YZ_ SPOT Dika sari","SUMATERA BARAT","AROSUKA","HILIRAN GUMANTI"
"POINT (100.03891850 0.48809100)","YZ_ SPOT DUO KOTO","SUMATERA BARAT","PASAMAN","DUO KOTO"
"POINT (100.57365910 -0.10499820)","YZ_ SPOT-DONI HENDRIKO","SUMATERA BARAT","LIMAPULUH KOTA","MUNGKA"
"POINT (100.50221580 0.02556400)","YZ_ SPOT-HIDAYATIL FITRIA ILLAHI","SUMATERA BARAT","LIMAPULUH KOTA","BUKIK BARISAN"
"POINT (100.35937400 -0.33711970)","YZ_ PALUPUH","SUMATERA BARAT","LUBUK BASUNG","PALUPUH"
"POINT (100.400477 -0.9430628)","YZ_ SPOT MENTAWAI","SUMATERA BARAT","MENTAWAI","SIPORA UTARA"
"POINT (104.76967700 -2.92348550)","YZ_ SPOT Siti Nuraini","SUMATERA SELATAN","SEKAYU","SUNGAI LALAN"
"POINT (104.6571423 -2.2530819)","YZ_ SPOT DIKI PRAMANDRI","SUMATERA SELATAN","BANYUASIN","KARANG AGUNG ILIR"
"POINT (104.6898622 -2.2551216)","YZ_ SPOT GERAI HUMAIROH","SUMATERA SELATAN","SEKAYU","SUNGAI LALAN"
"POINT (104.8989182 -2.6232626)","YZ_ SPOT ELI RAHMAWATI","SUMATERA SELATAN","BANYUASIN","MUARA TELANG"
"POINT (104.9731804 -2.483384)","YZ_ SPOT Adam Saputra","SUMATERA SELATAN","BANYUASIN","MAKARTI JAYA"
"POINT (105.0261008 -2.6344314)","YZ_ SPOT GRI AIR SALEK","SUMATERA SELATAN","BANYUASIN","AIR SALEK"
"POINT (105.2642152 -2.6686908)","YZ_ SPOT PUSPA ARYADI","SUMATERA SELATAN","KAYU AGUNG","AIR SUGIHAN"
"POINT (105.2956622 -2.5698945)","YZ_ SPOT SUNARNO","SUMATERA SELATAN","KAYU AGUNG","AIR SUGIHAN"
"POINT (102.3272642 -3.8425394)","YZ_ PADANG BAYAM","BENGKULU","ARGAMAKMUR","MARGA SAKTI SEBELAT"
"POINT (105.49157510 -4.83165550)","YZ_ SPOT YANA","LAMPUNG","LAMPUNG TENGAH","BUMI NABUNG"
"POINT (105.16555310 -5.23987220)","YZ_ SPOT YULI YANA","LAMPUNG","LAMPUNG TENGAH","SEPUTIH SURABAYA"
"POINT (105.68684760 -5.75038580)","YZ_ SPOT PENENGAHAN_2","LAMPUNG","LAMPUNG SELATAN","PANENGAHAN"
"POINT (105.51511210 -5.60256620)","YZ_ SPOT SIDOMULYO_2","LAMPUNG","LAMPUNG SELATAN","SIDOMULYO"
"POINT (105.26926320 -5.40601040)","YZ_ SPOT MEL12","LAMPUNG","TULANG BAWANG","RAWAJITU TIMUR"
"POINT (105.26924830 -5.40596120)","YZ_ SPOT BRILINK NINUK","LAMPUNG","LAMPUNG UTARA","ABUNG SELATAN"
"POINT (104.74644250 -4.43944070)","YZ_ SPOT LELY JNT BUMI AGUNG","LAMPUNG","WAY KANAN","BAHUGA"
"POINT (105.26925820 -5.40595030)","YZ_ SPOT VENDOR J&T PAKUAN RATU","LAMPUNG","WAY KANAN","PAKUAN RATU"
"POINT (105.26926730 -5.40597060)","YZ_ Spot Agus Ismail","LAMPUNG","LAMPUNG BARAT","PAGAR DEWA-LWA"
"POINT (105.26923950 -5.40600700)","YZ_ Spot Tobi Saputra","LAMPUNG","TULANG BAWANG","GEDUNG MENENG"
"POINT (105.16591860 -5.24523870)","YZ_ Spot TOKO ULFA","LAMPUNG","LAMPUNG TENGAH","GUNUNG SUGIH"
"POINT (105.26929220 -5.40597390)","YZ_ Spot Nur anita","LAMPUNG","LAMPUNG TENGAH","WAY PANGUBUAN"
"POINT (105.26927010 -5.40597170)","YZ_ Spot M.ali masum","LAMPUNG","LAMPUNG BARAT","SUOH"
"POINT (105.26919030 -5.40593070)","YZ_ Spot Siti Kartina","LAMPUNG","LAMPUNG TENGAH","GUNUNG SUGIH"
"POINT (105.26864510 -5.40778900)","YZ_ Spot Sumber Agung","LAMPUNG","PRINGSEWU","AMBARAWA-PSW"
"POINT (105.10720310 -5.00152480)","YZ_ Spot Indah Sari","LAMPUNG","LAMPUNG TENGAH","GUNUNG SUGIH"
"POINT (105.26929 -5.40577)","YZ_ SPOT P. BACAN (JAGABAYA II)","LAMPUNG","BANDAR LAMPUNG","WAY HALIM"
"POINT (105.81340610 -4.56993010)","YZ_ Spot HERU","LAMPUNG","TULANG BAWANG","DENTE TELADAS"
"POINT (105.23224070 -5.56532430)","YZ_ Spot Hurun","LAMPUNG","PESAWARAN","TELUK PANDAN-GTT"
"POINT (105.3016252 -5.3762526)","YZ_ SPOT TIRTAYASA","LAMPUNG","BANDAR LAMPUNG","SUKARAME-TKG"
"POINT (105.2847645 -5.3585798)","YZ_ Spot Way Kandis","LAMPUNG","BANDAR LAMPUNG","TANJUNG SENANG"
"POINT (105.2765901 -5.385883)","YZ_ SPOT TKG07A","LAMPUNG","BANDAR LAMPUNG","RAJABASA-TKG"
"POINT (105.2675841 -5.4344122)","YZ_ SPOT TKG 19B","LAMPUNG","BANDAR LAMPUNG","TELUK BETUNG UTARA"
"POINT (105.2287236 -5.3925555)","YZ_ Spot TKG02A","LAMPUNG","BANDAR LAMPUNG","KEMILING"
"POINT (105.2487985 -5.4328476)","YZ_ TELUK BETUNG","LAMPUNG","BANDAR LAMPUNG","TELUK BETUNG SELATAN"
"POINT (105.81684 -4.56633)","YZ_ Spot Fayadi","LAMPUNG","TULANG BAWANG","DENTE TELADAS"
"POINT (105.8156208 -4.471513)","YZ_ spot abang indrawan","LAMPUNG","TULANG BAWANG","DENTE TELADAS"
"POINT (105.5655735 -4.4450478)","YZ_ Spot Yasin","LAMPUNG","TULANG BAWANG","GEDUNG MENENG"
"POINT (105.6489823 -4.3959359)","YZ_ Spot Daffa Cell","LAMPUNG","TULANG BAWANG","GEDUNG MENENG"
"POINT (106.6856367 -6.1160788)","YZ_ SPOT HUSEIN SASTRANEGARA","BANTEN","TANGERANG","BENDA"
"POINT (107.154839 -6.285493)","YZ_ CIBUNTU","JAWA BARAT","BEKASI","CIBITUNG-BKI"
"POINT (108.9371383 -6.8745309)","YZ_ SPOT BRB07 Mtr M Abdul K","JAWA TENGAH","BREBES","BULAKAMBA"
"POINT (108.85408 -6.96854)","YZ_ SPOT BRB10 BANJARHARJO","JAWA TENGAH","BREBES","BANJARHARJO"
"POINT (113.9784203 -7.0029587)","YZ_ Fathor","JAWA TIMUR","SUMENEP","GAPURA"
"POINT (113.8668554 -7.0153988)","YZ_ SPOT fuad","JAWA TIMUR","SUMENEP","KOTA SUMENEP"
"POINT (113.374251 -8.0290905)","YZ_ DIKI WAHYUDI","JAWA TIMUR","JEMBER","SUMBER BARU"
"POINT (117.78443100 -8.79529200)","YZ_ Spot Plampang","NUSA TENGGARA BARAT","SUMBAWA BESAR","PLAMPANG"
"POINT (119.40858870 -9.64190410)","YZ_ Waikabubak","NUSA TENGGARA TIMUR","WAIKABUBAK","LOLI"
"POINT (120.25674820 -9.65578830)","YZ_ SPOT WAINGAPU","NUSA TENGGARA TIMUR","WAINGAPU","UMALULU"
"POINT (118.72321530 -8.45143870)","YZ_ SPOT BIMA","NUSA TENGGARA BARAT","BIMA","ASAKOTA-BMU"
"POINT (116.9797082 -8.5137818)","YZ_ SPOT ALAS","NUSA TENGGARA BARAT","SUMBAWA BESAR","ALAS"
"POINT (124.2845068 -9.8598586)","YZ_ SPOT SOE","NUSA TENGGARA TIMUR","SOE","KOTA SOE"
"POINT (122.2310842 -8.6285379)","YZ_ SPOT MAUMERE","NUSA TENGGARA TIMUR","MAUMERE","ALOK TIMUR"
"POINT (116.4908523 -8.7726866)","YZ_ SPOT KERUAK","NUSA TENGGARA BARAT","SELONG","JEROWARU"
"POINT (116.24840927 -8.74265201)","YZ_ SPOT TANAK AWU","NUSA TENGGARA BARAT","LOMBOK","PRAYA BARAT"
"POINT (116.5988734 -8.5731638)","YZ_ SPOT PRINGGABAYA","NUSA TENGGARA BARAT","SELONG","SAMBELIA"
"POINT (124.47803504 -9.44965184)","YZ_ SPOT KEFAMENANU","#N/A","#N/A","#N/A"
"POINT (116.2925852 -8.812909)","YZ_ SPOT PUJUT","NUSA TENGGARA BARAT","LOMBOK","PUJUT"
"POINT (119.227017 -9.4546073)","YZ_ SPOT TAMBOLAKA","NUSA TENGGARA TIMUR","TAMBOLAKA","KODI UTARA"
"POINT (117.4525113 -8.5831544)","YZ_ SPOT MOYOHULU","NUSA TENGGARA BARAT","SUMBAWA BESAR","MOYO HULU"
"POINT (117.7427077 -8.1838643)","YZ_ SPOT PEKAT","NUSA TENGGARA BARAT","DOMPU","PEKAT"
"POINT (118.4392633 -8.5400681)","YZ_ SPOT WOJA","NUSA TENGGARA BARAT","DOMPU","WOJA"
"POINT (118.45675169 -8.53069429)","YZ_ spot (Dompu)","NUSA TENGGARA BARAT","DOMPU","DOMPU"
"POINT (117.4336028 -8.5296132)","YZ_ SPOT MOYO","NUSA TENGGARA BARAT","SUMBAWA BESAR","SUMBAWA"
"POINT (117.99786610 -8.75863824)","YZ_ SPOT EMPANG TARANO","NUSA TENGGARA BARAT","SUMBAWA BESAR","EMPANG"
"POINT (117.59030019 -8.61990679)","YZ_ SPOT LAPE","NUSA TENGGARA BARAT","SUMBAWA BESAR","LAPE"
"POINT (124.521620 -8.215970)","YZ_ SPOT KALABAHI","NUSA TENGGARA TIMUR","KALABAHI","TELUK MUTIARA"
"POINT (117.4011498 -8.4802111)","YZ_ SPOT EMPANG","NUSA TENGGARA BARAT","SUMBAWA BESAR","LABUHAN BADAS"
"POINT (116.831987 -8.755537)","YZ_ SPOT (TALIWANG)","NUSA TENGGARA BARAT","SUMBAWA BARAT","TALIWANG"
"POINT (119.8948905 -8.4884818)","YZ_ Spot Labuan bajo","NUSA TENGGARA TIMUR","LABUAN BAJO","KOMODO"
"POINT (116.5368307 -8.5720388)","YZ_ LABUAN LOMBOK","NUSA TENGGARA BARAT","SELONG","AIKMEL"
"POINT (121.6533258 -8.8474667)","YZ_ SPOT ENDE","NUSA TENGGARA TIMUR","ENDE","ENDE TENGAH"
"POINT (116.1338192 -8.6698396)","YZ_ SPOT KEDIRI-1","NUSA TENGGARA BARAT","LOMBOK BARAT","SEKOTONG"
"POINT (116.8666617 -8.7462268)","YZ_ Spot (Maluk)","NUSA TENGGARA BARAT","SUMBAWA BARAT","MALUK"
"POINT (118.7327978 -8.4597139)","YZ_ SPOT WERA","NUSA TENGGARA BARAT","KAB.BIMA","WERA"
"POINT (118.6941617 -8.6002176)","YZ_ SPOT MONTA","NUSA TENGGARA BARAT","KAB.BIMA","MONPA"
"POINT (122.50577370 -4.02265480)","YZ_ SPOT PANJAITAN","SULAWESI TENGGARA","KENDARI","BARUGA"
"POINT (121.52010810 -4.36953790)","YZ_ SPOT TANGGETADA...","SULAWESI TENGGARA","KOLAKA","TANGGETADA"
"POINT (121.66487890 -4.16920780)","YZ_ SPOT POMALAA 3","SULAWESI TENGGARA","KOLAKA","POMALAA"
"POINT (119.3862628 -5.209154)","YZ_ BAROMBONG","SULAWESI SELATAN","MAKASSAR","TAMALATE"
"POINT (119.37245400 -1.17818350)","YZ_ SPOT PASAN-KAYU","SULAWESI BARAT","PASANG KAYU","PASANGKAYU"
"POINT (119.89401730 -4.35092460)","YZ_ SPOT LALABATA","SULAWESI SELATAN","SOPPENG","LALABATA"
"POINT (119.110621 -5.1503177)","YZ_ SPOT TAKALAR","#N/A","#N/A","#N/A"
"POINT (119.65177440 -3.80666140)","YZ_ SPOT PINRANG","SULAWESI SELATAN","PINRANG","WATANG SAWITTO"
"POINT (122.84473650 -5.50617940)","YZ_ SPOT PASARWAJO","SULAWESI TENGGARA","BUTON","PASAR WAJO"
"POINT (119.62418140 -4.01786140)","YZ_ SPOT PAREPARE","SULAWESI SELATAN","PARE PARE","UJUNG"
"POINT (122.23113160 -4.46278980)","YZ_ SPOT TINANGGEA","SULAWESI TENGGARA","KONAWE SELATAN","TINANGGEA"
"POINT (122.5057222 -4.0225846)","YZ_ SPOT BETOAMBARI","SULAWESI TENGGARA","BAU-BAU","BETOAMBARI"
"POINT (122.5057222 -4.0225833)","YZ_ SPOT WOLO","SULAWESI TENGGARA","KOLAKA","WOLO"
"POINT (120.22332430 -5.11447310)","YZ_ SPOT PULAU SEMBILAN","SULAWESI SELATAN","SINJAI","SINJAI UTARA"
"POINT (119.4379337 -5.2272653)","YZ_ SAPAYA","SULAWESI SELATAN","GOWA","BUNGAYA"
"POINT (120.18434120 -2.95406760)","YZ_ SPOT RAMPOANG","SULAWESI SELATAN","PALOPO","BARA"
"POINT (119.75037790 -5.68450540)","YZ_ SPOT JENEPONTO","SULAWESI SELATAN","JENEPONTO","BINAMU"
"POINT (121.3675833 -2.6398333)","YZ_ SPOT TOWUTI","SULAWESI SELATAN","MALILI","TOWUTI"
"POINT (120.50611260 -2.59835880)","YZ_ SPOT BONE-BONE","SULAWESI SELATAN","MASAMBA","BONE-BONE"
