"WKT","Name","Provinsi","Kota","Kecamatan"
"POINT (112.9468327 -2.5416779)","YZ_PAGATAN","KALIMANTAN TENGAH","KATINGAN","KATINGAN KUALA"
"POINT (112.9485143 -2.5402256)","YZ_ANTANG KALANG","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","ANTANG KALANG"
"POINT (115.16737 -2.1127594)","YZ_KARUSEN JANANG","KALIMANTAN TENGAH","TAMIANG LAYANG","KARUSENG JANANG"
"POINT (112.438534 0.332259)","YZ_ NANGA SERAWAI","KALIMANTAN BARAT","SINTANG","SERAWAI"
"POINT (109.21696 1.47132)","YZ_ TELUK KERAMAT","KALIMANTAN BARAT","SAMBAS","TELUK KERAMAT"
"POINT (109.3214 -0.0346)","YZ_ KETUNGAU TENGAH","KALIMANTAN BARAT","SINTANG","KETUNGAU TENGAH"
"POINT (110.1065111 0.1413962)","YZ_ BATANG TARANG","KALIMANTAN BARAT","NGABANG","JELIMPO"
"POINT (109.054167 1.317500)","YZ_ JAWAI 01 (SAS03B)","KALIMANTAN BARAT","SAMBAS","JAWAI"
"POINT (109.284910 1.374269)","YZ_ SAMBAS (SAS01)","KALIMANTAN BARAT","SAMBAS","SAMBAS"
"POINT (109.147110 1.229830)","YZ_ TEBAS (SAS04)","KALIMANTAN BARAT","SAMBAS","TEBAS"
"POINT (109.628449 1.605690)","YZ_ SAJINGAN BESAR 01 (SAS07A)","KALIMANTAN BARAT","SAMBAS","SAJINGAN BESAR"
"POINT (111.918879 -0.108812)","YZ_ KAYAN","KALIMANTAN BARAT","SINTANG","KAYAN HILIR-SQG"
"POINT (108.975517 1.179513)","YZ_ PEMANGKAT","KALIMANTAN BARAT","SAMBAS","PEMANGKAT"
"POINT (108.9729908 1.0615133)","YZ_ SELAKAU","KALIMANTAN BARAT","SAMBAS","SELAKAU"
"POINT (109.2475359 -0.1276834)","YZ_ PUNGGUR","KALIMANTAN BARAT","KUBURAYA","SUNGAI KAKAP"
"POINT (110.28633 -0.11509)","YZ_ CP RUDOVA JAYA","KALIMANTAN BARAT","SANGGAU","MELIAU"
"POINT (110.101092 -0.242787)","YZ_ TOBA","KALIMANTAN BARAT","SANGGAU","TOBA"
"POINT (110.1028254 0.7513662)","YZ_ AIR BESAR","KALIMANTAN BARAT","NGABANG","AIR BESAR"
"POINT (110.001868 0.5855986)","YZ_ KUALA BEHE","KALIMANTAN BARAT","NGABANG","KUALA BEHE"
"POINT (111.4834890 0.1815370)","YZ_ BINJAI HULU","KALIMANTAN BARAT","SINTANG","BINJAI HULU"
"POINT (112.227124 -0.419111)","YZ_ MENUKUNG","KALIMANTAN BARAT","MELAWI","MENUKUNG"
"POINT (111.1893332 0.190063)","YZ_ BELITANG","KALIMANTAN BARAT","SEKADAU","BELITANG"
"POINT (111.204903 0.447493)","YZ_ BELITANG HULU","KALIMANTAN BARAT","SEKADAU","BELITANG HULU"
"POINT (111.96041180 0.54839221)","YZ_ SEMITAU","KALIMANTAN BARAT","KAPUAS HULU","SEMITAU"
"POINT (111.999181 0.432755)","YZ_ SEBERUANG","KALIMANTAN BARAT","KAPUAS HULU","SEBERUANG"
"POINT (112.001511 0.61780000)","YZ_ SUHAID","KALIMANTAN BARAT","KAPUAS HULU","SUHAID"
"POINT (109.258358 -0.061635)","YZ_ KAKAP 01 (KUB05A)","KALIMANTAN BARAT","KUBURAYA","SUNGAI KAKAP"
"POINT (109.1949216 0.069735)","YZ_ JUNGKAT JAYA (MMW06A)","KALIMANTAN BARAT","MEMPAWAH","SIANTAN-MMW"
"POINT (110.3573778 -0.7979795)","YZ_ SIMPANG DUA","KALIMANTAN BARAT","TUMBANG TITI","SIMPANG DUA"
"POINT (108.923613 0.550386)","YZ_ SUNGAI KUNYIT KOTA (MMW10)","KALIMANTAN BARAT","MEMPAWAH","SUNGAI KUNYIT"
"POINT (108.9584447 0.3606851)","YZ_ MEMPAWAH KOTA (MMW09)","KALIMANTAN BARAT","MEMPAWAH","MEMPAWAH HILIR"
"POINT (110.430044 0.211106)","YZ_ BODOK KOTA (SAG10)","KALIMANTAN BARAT","SANGGAU","PARINDU"
"POINT (109.408676 -0.113255)","YZ_ SUNGAI RAYA01 (KUB14)","KALIMANTAN BARAT","KUBURAYA","SUNGAI RAYA-KUB"
"POINT (109.627199 0.590466)","YZ_ MENYUKE KOTA (NGG10)","KALIMANTAN BARAT","NGABANG","MENYUKE"
"POINT (109.667125 0.318600)","YZ_ PAHAUMAN KOTA (NGG09)","KALIMANTAN BARAT","NGABANG","SENGAH TEMILA"
"POINT (109.35243 -0.01832)","YZ_ GUSTI SITUT MAHMUD (PNK03A)","KALIMANTAN BARAT","PONTIANAK","PONTIANAK UTARA"
"POINT (109.380853 -0.23454)","YZ_ RASAU JAYA 01 ( KUB01A)","KALIMANTAN BARAT","KUBURAYA","RASAU JAYA"
"POINT (108.981681 0.913544)","YZ_ SINGKAWANG RAYA (SKW01A)","KALIMANTAN BARAT","SINGKAWANG","SINGKAWANG BARAT"
"POINT (109.1833 0.1504)","YZ_ SELIMBAU","KALIMANTAN BARAT","KAPUAS HULU","SELIMBAU"
"POINT (112.921933 0.872564)","YZ_ EMBALOH HULU","KALIMANTAN BARAT","KAPUAS HULU","EMBALOH HULU"
"POINT (109.3427355 -0.0552239)","YZ_ KOMYOS (PNK04B)","KALIMANTAN BARAT","PONTIANAK","PONTIANAK SELATAN"
"POINT (109.780047 -1.005802)","YZ_ TELUK BATANG (TLM02)","KALIMANTAN BARAT","KAYONG UTARA","TELUK BATANG"
"POINT (109.301405 -0.021398)","YZ_ SAWO (PNK04A)","KALIMANTAN BARAT","PONTIANAK","PONTIANAK BARAT"
"POINT (109.949444 0.396379)","YZ_ LANDAK KOTA (NGG08)","KALIMANTAN BARAT","NGABANG","NGABANG"
"POINT (111.605447 -0.289048)","YZ_ BELIMBING (MLW03)","KALIMANTAN BARAT","MELAWI","BELIMBING-MLW"
"POINT (109.085705 0.276258)","YZ_ PINYUH KOTA (MMW08)","KALIMANTAN BARAT","MEMPAWAH","SUNGAI PINYUH"
"POINT (110.401808 0.553962)","YZ_ KEMBAYAN (SAG13)","KALIMANTAN BARAT","SANGGAU","KEMBAYAN"
"POINT (111.488749 0.064682)","YZ_ LINTAS MELAWI (SQG01A)","KALIMANTAN BARAT","SINTANG","SINTANG"
"POINT (110.237273 0.294086)","YZ_ SOSOK KOTA (SAG09)","KALIMANTAN BARAT","SANGGAU","TAYAN HULU"
"POINT (110.118874 -0.035647)","YZ_ TAYAN KOTA (SAG11)","KALIMANTAN BARAT","SANGGAU","TAYAN HILIR"
"POINT (110.586380 0.119980)","YZ_ SANGGAU KAPUAS (SAG01A)","KALIMANTAN BARAT","SANGGAU","SANGGAU KAPUAS"
